START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
01-01-2016 21:11,01-01-2016 21:17,business,Fort Pierce,Fort Pierce,5.1,meal/entertain
01-02-2016 01:25,01-02-2016 01:37,business,Fort Pierce,Fort Pierce,5.0,nopurpose
01-02-2016 20:25,01-02-2016 20:38,business,Fort Pierce,Fort Pierce,4.8,errand/supplies
01-05-2016 17:31,01-05-2016 17:45,business,Fort Pierce,Fort Pierce,4.7,meeting
01-06-2016 14:42,01-06-2016 15:49,business,Fort Pierce,West Palm Beach,63.7,customer visit
01-06-2016 17:15,01-06-2016 17:19,business,West Palm Beach,West Palm Beach,4.3,meal/entertain
01-06-2016 17:30,01-06-2016 17:35,business,West Palm Beach,Palm Beach,7.1,meeting
01-07-2016 13:27,01-07-2016 13:33,business,Cary,Cary,0.8,meeting
01-10-2016 08:05,01-10-2016 08:25,business,Cary,Morrisville,8.3,meeting
01-10-2016 12:17,01-10-2016 12:44,business,Jamaica,New York,16.5,customer visit
01-10-2016 15:08,01-10-2016 15:51,business,New York,Queens,10.8,meeting
01-10-2016 18:18,01-10-2016 18:53,business,Elmhurst,New York,7.5,meeting
01-10-2016 19:12,01-10-2016 19:32,business,Midtown,East Harlem,6.2,meeting
01-11-2016 08:55,01-11-2016 09:21,business,East Harlem,NoMad,6.4,temporary site
01-11-2016 11:56,01-11-2016 12:03,business,Flatiron District,Midtown,1.6,errand/supplies
01-11-2016 13:32,01-11-2016 13:46,business,Midtown,Midtown East,1.7,meal/entertain
01-11-2016 14:30,01-11-2016 14:43,business,Midtown East,Midtown,1.9,meal/entertain
01-12-2016 12:33,01-12-2016 12:49,business,Midtown,Hudson Square,1.9,meal/entertain
01-12-2016 12:53,01-12-2016 13:09,business,Hudson Square,Lower Manhattan,4.0,meal/entertain
01-12-2016 14:42,01-12-2016 14:56,business,Lower Manhattan,Hudson Square,1.8,errand/supplies
01-12-2016 15:13,01-12-2016 15:28,business,Hudson Square,Hell's Kitchen,2.4,customer visit
01-12-2016 15:42,01-12-2016 15:54,business,Hell's Kitchen,Midtown,2.0,errand/supplies
